syn_id,pre_id,post_id,prop
153,145,182,0.961577350859454
154,199,164,1.0
155,199,164,0.06418219461697723
155,199,174,0.8354037267080745
155,199,188,0.10041407867494824
156,165,134,0.5895522388059702
156,165,135,0.27825159914712155
156,165,173,0.11194029850746269
156,165,244,0.02025586353944563
157,165,134,0.5807127882599581
157,165,172,0.17295597484276728
157,165,244,0.24633123689727462
158,191,173,0.3729189789123196
158,191,174,0.6270810210876804
159,181,163,1.0
160,173,133,0.04778972520908005
160,173,184,0.9522102747909199
161,188,1,1.0
163,185,136,0.027624309392265192
163,185,162,0.9723756906077348
164,181,185,0.01820020222446916
164,181,241,0.9817997977755308
165,173,184,1.0
166,201,164,1.0
167,201,164,1.0
169,165,244,1.0
170,191,1,0.05190677966101695
170,191,145,0.24046610169491525
170,191,179,0.7076271186440678
173,173,164,0.70020964360587
173,173,184,0.29979035639413
174,172,134,0.21149897330595482
174,172,135,0.6981519507186859
174,172,136,0.014373716632443531
174,172,139,0.07597535934291581
175,184,126,0.19175027870680045
175,184,164,0.5529542920847269
175,184,173,0.19175027870680045
175,184,174,0.06354515050167224
176,172,185,1.0
178,145,154,1.0
179,145,154,1.0
181,165,244,1.0
182,165,244,1.0
183,181,164,0.11076923076923077
183,181,175,0.8892307692307693
189,201,164,1.0
190,165,244,1.0
192,165,134,0.3172774869109948
192,165,244,0.6827225130890052
193,180,242,1.0
197,199,164,1.0
202,180,242,1.0
203,172,134,1.0
205,172,134,0.3333333333333333
205,172,135,0.05708460754332314
205,172,175,0.5076452599388379
205,172,185,0.1019367991845056
207,181,134,0.3878787878787879
207,181,163,0.22727272727272727
207,181,175,0.2606060606060606
207,181,185,0.12424242424242424
208,184,126,0.9454949944382648
208,184,133,0.024471635150166853
208,184,153,0.030033370411568408
209,185,163,0.5605900948366702
209,185,181,0.43940990516332984
214,201,164,1.0
215,201,82,0.5909090909090909
215,201,147,0.31414141414141417
215,201,164,0.09494949494949495
216,199,164,1.0
217,201,244,1.0
218,241,244,1.0
219,199,174,0.4041025641025641
219,199,180,0.5958974358974359
221,165,134,0.7064881565396498
221,165,244,0.29351184346035014
222,165,134,0.20231822971549
222,165,135,0.01791359325605901
222,165,244,0.779768177028451
223,188,1,0.846815834767642
223,188,191,0.153184165232358
224,189,2,0.08158995815899582
224,189,82,0.4246861924686193
224,189,175,0.4299163179916318
224,189,201,0.06380753138075314
225,189,2,1.0
226,173,174,1.0
227,180,126,0.09725158562367865
227,180,133,0.2959830866807611
227,180,153,0.14587737843551796
227,180,173,0.24735729386892177
227,180,174,0.20190274841437633
227,180,184,0.011627906976744186
230,189,145,0.9752321981424149
230,189,163,0.02476780185758514
231,201,82,0.709
231,201,175,0.291
232,165,133,0.8655737704918033
232,165,243,0.13442622950819672
233,191,175,1.0
234,188,174,0.4979253112033195
234,188,191,0.5020746887966805
238,147,82,1.0
241,187,175,0.6222444889779559
241,187,201,0.3777555110220441
243,189,2,0.884493670886076
243,189,82,0.11550632911392406
245,173,127,0.018537590113285273
245,173,133,0.7064881565396498
245,173,174,0.2749742533470649
246,184,126,0.039153439153439155
246,184,133,0.5005291005291005
246,184,153,0.4603174603174603
247,185,134,0.15392561983471073
247,185,136,0.14359504132231404
247,185,163,0.1890495867768595
247,185,181,0.5134297520661157
248,145,154,0.5110663983903421
248,145,217,0.48893360160965793
249,145,153,1.0
250,145,217,1.0
252,201,82,1.0
253,201,241,1.0
255,199,174,1.0
256,187,82,0.22289156626506024
256,187,201,0.7188755020080321
256,187,241,0.05823293172690763
257,180,242,1.0
258,201,82,0.6916916916916916
258,201,175,0.3083083083083083
259,180,127,0.06281661600810537
259,180,242,0.9371833839918946
261,165,133,0.9029304029304029
261,165,134,0.09706959706959707
263,173,127,0.07549120992761117
263,173,133,0.35987590486039295
263,173,164,0.5646328852119958
264,188,174,0.5748945147679325
264,188,191,0.42510548523206754
266,145,153,0.41200406917599186
266,145,213,0.5879959308240081
269,201,82,0.8206412825651302
269,201,147,0.17935871743486975
271,201,82,0.4678068410462777
271,201,241,0.5321931589537223
272,242,127,0.23387096774193547
272,242,133,0.11895161290322581
272,242,243,0.6471774193548387
273,180,173,0.011
273,180,174,0.646
273,180,186,0.343
275,173,127,0.929364278506559
275,173,130,0.07063572149344097
277,145,154,1.0
280,201,82,1.0
281,199,174,1.0
282,199,84,0.527
282,199,174,0.473
284,186,174,0.6217303822937625
284,186,199,0.3782696177062374
285,165,133,0.2619565217391304
285,165,134,0.3706521739130435
285,165,243,0.3673913043478261
286,165,134,0.5050813008130082
286,165,135,0.026422764227642278
286,165,243,0.4684959349593496
287,165,134,0.272234273318872
287,165,135,0.7277657266811279
288,188,199,1.0
289,172,134,0.3286290322580645
289,172,135,0.2721774193548387
289,172,175,0.39919354838709675
291,180,162,1.0
293,145,217,1.0
295,159,82,0.614307931570762
295,159,241,0.3856920684292379
296,201,147,0.22707423580786026
296,201,164,0.7729257641921398
297,201,82,0.8558282208588958
297,201,147,0.08077709611451943
297,201,241,0.06339468302658487
298,186,84,0.6870611835506519
298,186,199,0.31293881644934807
299,199,186,1.0
301,244,134,0.9133771929824561
301,244,165,0.08662280701754387
302,189,2,0.058572949946751864
302,189,82,0.731629392971246
302,189,147,0.20979765708200213
306,199,164,1.0
307,201,147,0.9808274470232089
307,201,164,0.01917255297679112
308,199,186,1.0
310,187,82,0.3218970736629667
310,187,201,0.6781029263370333
311,199,174,0.043
311,199,186,0.957
312,201,82,1.0
314,173,127,0.06707317073170732
314,173,133,0.3119918699186992
314,173,174,0.6209349593495935
315,180,133,0.053167420814479636
315,180,153,0.4276018099547511
315,180,174,0.5192307692307693
318,145,154,0.4702920443101712
318,145,217,0.5297079556898288
321,186,84,0.554
321,186,199,0.446
322,191,82,0.41414141414141414
322,191,241,0.5858585858585859
323,165,244,1.0
324,201,82,1.0
325,201,82,1.0
326,242,127,0.15583075335397317
326,242,130,0.28586171310629516
326,242,133,0.07430340557275542
326,242,164,0.3364293085655315
326,242,180,0.023735810113519093
326,242,228,0.1238390092879257
330,145,217,1.0
331,147,82,0.3562753036437247
331,147,241,0.6437246963562753
333,199,242,1.0
334,165,133,0.013527575442247659
334,165,244,0.9864724245577523
340,199,84,0.24092741935483872
340,199,146,0.7590725806451613
341,201,147,0.9588353413654619
341,201,164,0.04116465863453815
342,186,84,0.7925851703406813
342,186,199,0.20741482965931865
343,199,84,0.966
343,199,242,0.034
345,242,127,0.9227053140096618
345,242,243,0.07729468599033816
346,241,139,0.6418367346938776
346,241,187,0.35816326530612247
347,241,244,1.0
348,191,1,0.046511627906976744
348,191,146,0.3953488372093023
348,191,174,0.5581395348837209
349,188,146,0.5502092050209205
349,188,174,0.3284518828451883
349,188,199,0.12133891213389121
351,227,135,0.7014341590612777
351,227,139,0.02346805736636245
351,227,164,0.27509778357235987
353,172,135,0.12448559670781893
353,172,139,0.8755144032921811
354,199,174,0.40526849037487334
354,199,180,0.5947315096251267
358,145,153,0.2668711656441718
358,145,213,0.7331288343558282
362,201,165,0.09919028340080972
362,201,244,0.9008097165991903
363,199,242,1.0
364,186,84,1.0
365,199,242,1.0
369,201,82,0.9185336048879837
369,201,241,0.0814663951120163
371,227,135,0.22604166666666667
371,227,139,0.07083333333333333
371,227,164,0.703125
372,228,130,0.44805876180482684
372,228,164,0.5519412381951732
373,181,134,0.5766806722689075
373,181,154,0.0546218487394958
373,181,175,0.36869747899159666
375,185,181,1.0
377,199,146,1.0
381,188,84,0.20887991927346114
381,188,146,0.21796165489404642
381,188,174,0.013118062563067608
381,188,199,0.5600403632694249
382,201,175,0.20783132530120482
382,201,181,0.7921686746987951
384,189,145,1.0
386,191,84,0.24057084607543322
386,191,184,0.15392456676860347
386,191,242,0.6055045871559633
387,241,142,0.2002002002002002
387,241,187,0.7997997997997998
388,201,241,1.0
389,242,127,1.0
390,199,84,0.788
390,199,174,0.212
391,241,127,0.6053921568627451
391,241,135,0.3946078431372549
392,227,164,0.6255144032921811
392,227,172,0.37448559670781895
393,147,82,0.9704329461457233
393,147,187,0.029567053854276663
394,172,135,0.021494370522006142
394,172,139,0.9160696008188332
394,172,227,0.062436028659160696
395,172,134,0.23847695390781562
395,172,135,0.22645290581162325
395,172,175,0.5350701402805611
398,196,145,1.0
399,159,82,0.03125
399,159,147,0.11391129032258064
399,159,151,0.13205645161290322
399,159,164,0.2550403225806452
399,159,241,0.46774193548387094
400,159,241,1.0
402,199,84,0.05
402,199,242,0.95
404,242,130,0.8454987834549879
404,242,174,0.09975669099756691
404,242,186,0.05474452554744526
405,241,139,1.0
407,184,133,0.4561611374407583
407,184,153,0.5438388625592417
409,189,145,1.0
410,196,145,1.0
413,191,84,0.9302325581395349
413,191,242,0.06976744186046512
418,242,127,0.23312236286919832
418,242,133,0.39662447257383965
418,242,135,0.05168776371308017
418,242,165,0.16666666666666666
418,242,243,0.1518987341772152
419,143,173,0.4898989898989899
419,143,174,0.51010101010101
420,142,172,0.8218218218218218
420,142,175,0.1781781781781782
422,227,139,0.18711656441717792
422,227,164,0.45296523517382414
422,227,172,0.03169734151329243
422,227,175,0.0869120654396728
422,227,187,0.24130879345603273
423,147,82,0.9724655819774718
423,147,187,0.02753441802252816
424,181,134,0.36089385474860336
424,181,154,0.17541899441340783
424,181,175,0.46368715083798884
429,196,145,1.0
431,241,142,1.0
432,191,84,0.514047866805411
432,191,242,0.48595213319458896
433,143,173,0.9868951612903226
433,143,174,0.01310483870967742
434,187,201,1.0
435,227,139,0.5550611790878754
435,227,164,0.44493882091212456
436,187,82,0.01609657947686117
436,187,201,0.9839034205231388
437,187,82,0.678714859437751
437,187,201,0.321285140562249
438,201,82,0.5110178384050367
438,201,187,0.48898216159496327
439,185,134,0.48261758691206547
439,185,136,0.024539877300613498
439,185,154,0.49284253578732107
443,196,145,1.0
445,159,164,1.0
447,241,142,1.0
448,241,142,1.0
449,241,165,1.0
452,184,126,0.7034764826175869
452,184,180,0.2965235173824131
453,197,145,0.9657603222557906
453,197,189,0.03423967774420947
454,196,101,0.014973262032085561
454,196,145,0.9850267379679144
455,145,154,1.0
456,145,154,0.5376128385155466
456,145,217,0.46238716148445336
457,241,142,1.0
460,242,127,0.1368312757201646
460,242,135,0.01748971193415638
460,242,165,0.8148148148148148
460,242,241,0.030864197530864196
461,228,130,0.45314109165808447
461,228,131,0.029866117404737384
461,228,164,0.5169927909371782
462,184,133,0.4855769230769231
462,184,153,0.48197115384615385
462,184,180,0.03245192307692308
467,145,153,0.17303822937625754
467,145,213,0.8269617706237424
469,159,84,0.5198372329603256
469,159,146,0.08240081383519837
469,159,242,0.3977619532044761
471,242,142,1.0
472,142,175,0.06327800829875518
472,142,187,0.1421161825726141
472,142,241,0.7946058091286307
473,242,130,0.18153526970954356
473,242,186,0.8184647302904564
474,187,147,0.9228426395939087
474,187,159,0.07715736040609138
475,241,127,0.8080808080808081
475,241,139,0.13580246913580246
475,241,165,0.05611672278338945
477,143,173,0.33567134268537074
477,143,174,0.6643286573146293
478,187,175,0.37679671457905545
478,187,201,0.6232032854209446
